gene,group,label,log2exp,time,replicate
142200_at,group2,C_04.cel,12.102337518842,4,C
142661_at,group3,C_04.cel,9.9891964422217,4,C
142342_at,group3,C_04.cel,8.29320938084454,4,C
141251_at,group3,C_04.cel,11.8711489068241,4,C
142709_s_at,group3,C_04.cel,12.2590010452313,4,C
142798_at,group1,C_05.cel,15.4631875990001,5,C
142472_at,group1,C_05.cel,15.4469095720633,5,C
143074_at,group1,C_05.cel,15.3240535314904,5,C
143143_at,group1,C_05.cel,15.3431548961923,5,C
142791_at,group1,C_05.cel,15.3092118662112,5,C
142356_at,group2,C_05.cel,10.5354678078057,5,C
143051_at,group2,C_05.cel,10.0543816809499,5,C
141311_at,group2,C_05.cel,8.23048316833295,5,C
141404_at,group2,C_05.cel,9.49524518681174,5,C
142200_at,group2,C_05.cel,13.0381226599059,5,C
142661_at,group3,C_05.cel,10.1669080873238,5,C
142342_at,group3,C_05.cel,8.4218853031774,5,C
141251_at,group3,C_05.cel,10.5399909250144,5,C
142709_s_at,group3,C_05.cel,10.7439738274659,5,C
142798_at,group1,C_06.cel,15.4645567031169,6,C
142472_at,group1,C_06.cel,15.4482786761801,6,C
143074_at,group1,C_06.cel,15.252154142357,6,C
143143_at,group1,C_06.cel,15.3380938050387,6,C
142791_at,group1,C_06.cel,15.3106329358695,6,C
142356_at,group2,C_06.cel,11.1537799009978,6,C
143051_at,group2,C_06.cel,11.1051314137571,6,C
141311_at,group2,C_06.cel,8.6200975333311,6,C
141404_at,group2,C_06.cel,9.77890526425256,6,C
142200_at,group2,C_06.cel,12.8967932400563,6,C
142661_at,group3,C_06.cel,10.3771617349393,6,C
142342_at,group3,C_06.cel,8.36229670515477,6,C
141251_at,group3,C_06.cel,9.93754356225548,6,C
142709_s_at,group3,C_06.cel,10.7012108812099,6,C
142798_at,group1,C_07.cel,15.4678938082733,7,C
142472_at,group1,C_07.cel,15.4516157813365,7,C
143074_at,group1,C_07.cel,15.184441046393,7,C
143143_at,group1,C_07.cel,15.3178644164858,7,C
142791_at,group1,C_07.cel,15.3139700410259,7,C
142356_at,group2,C_07.cel,11.9494635044117,7,C
143051_at,group2,C_07.cel,11.5025120933035,7,C
141311_at,group2,C_07.cel,8.568079593616,7,C
141404_at,group2,C_07.cel,10.2217409167321,7,C
142200_at,group2,C_07.cel,13.2892503697699,7,C
142661_at,group3,C_07.cel,10.5959116820308,7,C
142342_at,group3,C_07.cel,8.39829234049006,7,C
141251_at,group3,C_07.cel,9.8581643376172,7,C
142709_s_at,group3,C_07.cel,10.5761395819883,7,C
142798_at,group1,C_08.cel,15.4635452180392,8,C
142472_at,group1,C_08.cel,15.4635452180392,8,C
143074_at,group1,C_08.cel,15.1650321837845,8,C
143143_at,group1,C_08.cel,15.3172822505614,8,C
142791_at,group1,C_08.cel,15.3543749720418,8,C
142356_at,group2,C_08.cel,12.3436158503172,8,C
143051_at,group2,C_08.cel,11.9144074379196,8,C
141311_at,group2,C_08.cel,8.84457035346253,8,C
141404_at,group2,C_08.cel,10.6304344421617,8,C
142200_at,group2,C_08.cel,13.5965526578795,8,C
142661_at,group3,C_08.cel,10.5667440421629,8,C
142342_at,group3,C_08.cel,8.52571159065057,8,C
141251_at,group3,C_08.cel,9.79932201413328,8,C
142709_s_at,group3,C_08.cel,10.4545592241988,8,C
142798_at,group1,C_09.cel,15.4672940258735,9,C
142472_at,group1,C_09.cel,15.4554055525345,9,C
143074_at,group1,C_09.cel,15.3108313083962,9,C
143143_at,group1,C_09.cel,15.3217566994431,9,C
142791_at,group1,C_09.cel,15.3178610222271,9,C
142356_at,group2,C_09.cel,12.9493165873988,9,C
143051_at,group2,C_09.cel,12.4992871442842,9,C
141311_at,group2,C_09.cel,10.5771454858735,9,C
141404_at,group2,C_09.cel,12.5322645411392,9,C
142200_at,group2,C_09.cel,13.7297205805878,9,C
142661_at,group3,C_09.cel,11.0738558275871,9,C
142342_at,group3,C_09.cel,8.43999978085041,9,C
141251_at,group3,C_09.cel,10.8510473205429,9,C
142709_s_at,group3,C_09.cel,10.4425993410204,9,C
142798_at,group1,C_10.cel,15.4680119673844,10,C
142472_at,group1,C_10.cel,15.4517339404476,10,C
143074_at,group1,C_10.cel,15.2939367450969,10,C
143143_at,group1,C_10.cel,15.3054387012357,10,C
142791_at,group1,C_10.cel,15.3196356676298,10,C
142356_at,group2,C_10.cel,13.2985257844808,10,C
143051_at,group2,C_10.cel,12.3859461386857,10,C
141311_at,group2,C_10.cel,12.5427888206358,10,C
141404_at,group2,C_10.cel,13.713303809821,10,C
142200_at,group2,C_10.cel,13.4039402201511,10,C
142661_at,group3,C_10.cel,11.4182597428632,10,C
142342_at,group3,C_10.cel,8.50312338528189,10,C
141251_at,group3,C_10.cel,12.0030572768252,10,C
142709_s_at,group3,C_10.cel,10.7124232293208,10,C
142798_at,group1,C_11.cel,15.4645567031169,11,C
142472_at,group1,C_11.cel,15.4520312431856,11,C
143074_at,group1,C_11.cel,15.3349359442043,11,C
143143_at,group1,C_11.cel,15.3190193766865,11,C
142791_at,group1,C_11.cel,15.3613931517273,11,C
142356_at,group2,C_11.cel,13.747544938816,11,C
143051_at,group2,C_11.cel,12.9260321100535,11,C
141311_at,group2,C_11.cel,13.8182319520763,11,C
141404_at,group2,C_11.cel,14.3372554970174,11,C
142200_at,group2,C_11.cel,13.7551256516144,11,C
142661_at,group3,C_11.cel,11.8602049953701,11,C
142342_at,group3,C_11.cel,8.48730727524437,11,C
141251_at,group3,C_11.cel,12.9699490678012,11,C
142709_s_at,group3,C_11.cel,11.0403314731405,11,C
142798_at,group1,C_12.cel,15.4656126877485,12,C
142472_at,group1,C_12.cel,15.4534545944026,12,C
143074_at,group1,C_12.cel,15.3365103215907,12,C
